nameWithOwner,createdAt,pushedAt,primaryLanguage,stargazers,releases,mergedPRs,closedIssues,totalIssues,Repository Age,Accepted Pull Requests,Total Releases,Time Since Last Update,Language,Closed Issues Percent,Days Since Last Update
protocolbuffers/protobuf,2014-08-26T15:52:15Z,2021-03-03T22:08:38Z,{'name': 'C++'},{'totalCount': 46571},{'totalCount': 65},{'totalCount': 2902},{'totalCount': 3300},{'totalCount': 4330},2314,541,60,,JavaScript,75.32368621477532,0.0
pytorch/pytorch,2016-08-13T05:26:41Z,2021-03-03T22:08:15Z,{'name': 'C++'},{'totalCount': 46558},{'totalCount': 30},{'totalCount': 4386},{'totalCount': 13115},{'totalCount': 18809},1459,287,0,,,98.14814814814815,1.0
gin-gonic/gin,2014-06-16T23:57:25Z,2021-02-27T08:41:51Z,{'name': 'Go'},{'totalCount': 46129},{'totalCount': 13},{'totalCount': 667},{'totalCount': 1248},{'totalCount': 1557},1488,2626,54,,TypeScript,98.83148831488316,0.0
kelseyhightower/nocode,2018-02-06T23:54:00Z,2021-02-24T08:59:05Z,{'name': 'Dockerfile'},{'totalCount': 45872},{'totalCount': 1},{'totalCount': 1},{'totalCount': 484},{'totalCount': 3826},2797,6178,194,,Go,96.93450114242194,0.0
Genymobile/scrcpy,2017-11-21T18:00:27Z,2021-02-27T16:54:32Z,{'name': 'C'},{'totalCount': 45463},{'totalCount': 21},{'totalCount': 24},{'totalCount': 1337},{'totalCount': 1973},4298,218,0,,,91.61836127212909,1064.0
moment/moment,2011-03-01T02:46:06Z,2021-03-03T00:50:41Z,{'name': 'JavaScript'},{'totalCount': 45451},{'totalCount': 0},{'totalCount': 709},{'totalCount': 3772},{'totalCount': 3849},2314,541,60,,JavaScript,75.32368621477532,0.0
apache/echarts,2013-04-03T03:18:59Z,2021-03-03T18:59:56Z,{'name': 'TypeScript'},{'totalCount': 45361},{'totalCount': 83},{'totalCount': 685},{'totalCount': 11494},{'totalCount': 13366},1459,287,0,,,98.14814814814815,1.0
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2021-02-05T06:17:54Z,{'name': 'Shell'},{'totalCount': 45021},{'totalCount': 0},{'totalCount': 385},{'totalCount': 122},{'totalCount': 134},1488,2626,54,,TypeScript,98.83148831488316,0.0
sveltejs/svelte,2016-11-20T18:13:05Z,2021-03-02T23:29:20Z,{'name': 'TypeScript'},{'totalCount': 44902},{'totalCount': 0},{'totalCount': 1949},{'totalCount': 2945},{'totalCount': 3501},2797,6178,194,,Go,96.93450114242194,0.0
ripienaar/free-for-dev,2015-03-18T21:06:26Z,2021-03-03T14:49:32Z,{'name': 'HTML'},{'totalCount': 44880},{'totalCount': 0},{'totalCount': 1412},{'totalCount': 0},{'totalCount': 0},4298,218,0,,,91.61836127212909,1064.0
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,2021-03-03T21:11:41Z,{'name': 'Python'},{'totalCount': 44749},{'totalCount': 22},{'totalCount': 7214},{'totalCount': 6732},{'totalCount': 8325},2314,541,60,,JavaScript,75.32368621477532,0.0
tuvtran/project-based-learning,2017-04-12T05:07:46Z,2021-02-01T18:42:58Z,,{'totalCount': 44726},{'totalCount': 0},{'totalCount': 125},{'totalCount': 16},{'totalCount': 35},1459,287,0,,,98.14814814814815,1.0
psf/requests,2011-02-13T18:38:17Z,2021-02-24T17:19:48Z,{'name': 'Python'},{'totalCount': 44696},{'totalCount': 0},{'totalCount': 1368},{'totalCount': 3099},{'totalCount': 3347},1488,2626,54,,TypeScript,98.83148831488316,0.0
ReactiveX/RxJava,2013-01-08T20:11:48Z,2021-03-03T08:12:47Z,{'name': 'Java'},{'totalCount': 44301},{'totalCount': 214},{'totalCount': 2960},{'totalCount': 3007},{'totalCount': 3018},2797,6178,194,,Go,96.93450114242194,0.0
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,2021-01-29T03:13:48Z,{'name': 'JavaScript'},{'totalCount': 43747},{'totalCount': 0},{'totalCount': 299},{'totalCount': 77},{'totalCount': 171},4298,218,0,,,91.61836127212909,1064.0
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,2020-11-08T16:43:39Z,,{'totalCount': 43703},{'totalCount': 0},{'totalCount': 83},{'totalCount': 16},{'totalCount': 29},2314,541,60,,JavaScript,75.32368621477532,0.0
fatedier/frp,2015-12-21T15:24:59Z,2021-03-03T12:54:46Z,{'name': 'Go'},{'totalCount': 43507},{'totalCount': 60},{'totalCount': 298},{'totalCount': 1719},{'totalCount': 1816},1459,287,0,,,98.14814814814815,1.0
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,2021-02-25T18:25:26Z,,{'totalCount': 43419},{'totalCount': 0},{'totalCount': 187},{'totalCount': 45},{'totalCount': 91},1488,2626,54,,TypeScript,98.83148831488316,0.0
ionic-team/ionic-framework,2013-08-20T23:06:02Z,2021-03-03T21:00:05Z,{'name': 'TypeScript'},{'totalCount': 43151},{'totalCount': 229},{'totalCount': 2720},{'totalCount': 18012},{'totalCount': 18643},2797,6178,194,,Go,96.93450114242194,0.0
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,2020-10-04T10:20:41Z,,{'totalCount': 43127},{'totalCount': 0},{'totalCount': 21},{'totalCount': 0},{'totalCount': 0},4298,218,0,,,91.61836127212909,1064.0
jgthms/bulma,2016-01-23T23:48:34Z,2021-02-26T16:10:09Z,{'name': 'CSS'},{'totalCount': 42815},{'totalCount': 15},{'totalCount': 559},{'totalCount': 2037},{'totalCount': 2246},2314,541,60,,JavaScript,75.32368621477532,0.0
ReactTraining/react-router,2014-05-16T22:22:51Z,2021-02-22T04:31:29Z,{'name': 'JavaScript'},{'totalCount': 42751},{'totalCount': 153},{'totalCount': 1186},{'totalCount': 5753},{'totalCount': 5788},1459,287,0,,,98.14814814814815,1.0
necolas/normalize.css,2011-05-04T10:20:25Z,2021-01-24T20:52:27Z,{'name': 'CSS'},{'totalCount': 42742},{'totalCount': 0},{'totalCount': 56},{'totalCount': 445},{'totalCount': 472},1488,2626,54,,TypeScript,98.83148831488316,0.0
meteor/meteor,2012-01-19T01:58:17Z,2021-03-03T21:05:34Z,{'name': 'JavaScript'},{'totalCount': 42311},{'totalCount': 0},{'totalCount': 1297},{'totalCount': 8358},{'totalCount': 8462},2797,6178,194,,Go,96.93450114242194,0.0
jekyll/jekyll,2008-10-20T06:29:03Z,2021-02-27T13:55:31Z,{'name': 'Ruby'},{'totalCount': 42309},{'totalCount': 99},{'totalCount': 2887},{'totalCount': 4285},{'totalCount': 4365},4298,218,0,,,91.61836127212909,1064.0
enaqx/awesome-react,2014-08-06T05:31:44Z,2021-03-02T09:19:14Z,,{'totalCount': 42016},{'totalCount': 0},{'totalCount': 740},{'totalCount': 67},{'totalCount': 76},2314,541,60,,JavaScript,75.32368621477532,0.0
google/material-design-icons,2014-10-08T18:01:28Z,2021-02-02T15:12:42Z,,{'totalCount': 41931},{'totalCount': 16},{'totalCount': 34},{'totalCount': 693},{'totalCount': 979},1459,287,0,,,98.14814814814815,1.0
neovim/neovim,2014-01-31T13:39:22Z,2021-03-03T21:40:57Z,{'name': 'Vim script'},{'totalCount': 41827},{'totalCount': 21},{'totalCount': 4859},{'totalCount': 5208},{'totalCount': 6333},1488,2626,54,,TypeScript,98.83148831488316,0.0
huggingface/transformers,2018-10-29T13:56:00Z,2021-03-03T21:38:48Z,{'name': 'Python'},{'totalCount': 41736},{'totalCount': 52},{'totalCount': 3497},{'totalCount': 5481},{'totalCount': 6078},2797,6178,194,,Go,96.93450114242194,0.0
spring-projects/spring-framework,2010-12-08T04:04:45Z,2021-03-03T13:44:40Z,{'name': 'Java'},{'totalCount': 41681},{'totalCount': 202},{'totalCount': 635},{'totalCount': 19714},{'totalCount': 20654},4298,218,0,,,91.61836127212909,1064.0
NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,2020-10-31T14:23:49Z,{'name': 'JavaScript'},{'totalCount': 41225},{'totalCount': 0},{'totalCount': 62},{'totalCount': 30},{'totalCount': 65},2314,541,60,,JavaScript,75.32368621477532,0.0
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2021-02-24T07:40:42Z,{'name': 'JavaScript'},{'totalCount': 41075},{'totalCount': 0},{'totalCount': 508},{'totalCount': 217},{'totalCount': 281},1459,287,0,,,98.14814814814815,1.0
home-assistant/core,2013-09-17T07:29:48Z,2021-03-03T22:07:00Z,{'name': 'Python'},{'totalCount': 40767},{'totalCount': 725},{'totalCount': 22926},{'totalCount': 18049},{'totalCount': 19312},1488,2626,54,,TypeScript,98.83148831488316,0.0
cdr/code-server,2019-02-27T16:50:41Z,2021-03-03T18:53:13Z,{'name': 'TypeScript'},{'totalCount': 40691},{'totalCount': 58},{'totalCount': 393},{'totalCount': 1781},{'totalCount': 2005},2797,6178,194,,Go,96.93450114242194,0.0
google/guava,2014-05-29T16:23:17Z,2021-03-02T20:46:34Z,{'name': 'Java'},{'totalCount': 40490},{'totalCount': 31},{'totalCount': 292},{'totalCount': 2568},{'totalCount': 3226},4298,218,0,,,91.61836127212909,1064.0
azl397985856/leetcode,2018-03-30T09:13:51Z,2021-03-03T07:56:43Z,{'name': 'JavaScript'},{'totalCount': 40263},{'totalCount': 36},{'totalCount': 208},{'totalCount': 208},{'totalCount': 215},2314,541,60,,JavaScript,75.32368621477532,0.0
