Owner/Repository,Repository Age,Stars,Total Releases,CBO,DIT,WMC,LOC
kaushikgopal/RxJava-Android-Samples,2429,7451,0,,,,
termux/termux-app,1972,7389,79,,,,
shwenzhang/AndResGuard,1984,7356,4,,,,
google/agera,1917,7304,16,,,,
dropwizard/metrics,4037,7296,54,,,,
jwtk/jjwt,2377,7295,0,,,,
square/dagger,3149,7266,0,,,,
aritraroy/UltimateAndroidReference,1437,7262,0,,,,
quarkusio/quarkus,985,7231,108,,,,
cymcsg/UltimateRecyclerView,2240,7209,9,,,,
Bearded-Hen/Android-Bootstrap,2693,7207,5,,,,
airbnb/epoxy,1682,7190,61,,,,
JakeWharton/ActionBarSherlock,3663,7182,32,,,,
pedant/sweet-alert-dialog,2341,7140,2,,,,
lecho/hellocharts-android,2348,7140,14,,,,
square/moshi,2412,7126,0,,,,
geeeeeeeeek/WeChatLuckyMoney,1995,7112,20,,,,
crazycodeboy/TakePhoto,2052,7107,15,,,,
facebook/litho,1510,7075,46,,,,
MindorksOpenSource/android-interview-questions,1347,7034,0,,,,
vipshop/vjtools,1023,7004,9,,,,
react-native-image-picker/react-native-image-picker,2109,6970,68,,,,
koush/AndroidAsync,3127,6957,0,,,,
leolin310148/ShortcutBadger,2679,6954,0,,,,
ogaclejapan/SmartTabLayout,2223,6866,0,,,,
hongyangAndroid/okhttputils,2039,6866,0,,,,
apache/shardingsphere-elasticjob,2014,6862,25,,,,
google/tsunami-security-scanner,287,6854,3,,,,
OpenFeign/feign,2821,6777,14,,,,
hongyangAndroid/AndroidAutoLayout,1945,6723,0,,,,
google/android-classyshark,1983,6718,17,,,,
swagger-api/swagger-core,3543,6709,63,,,,
davemorrissey/subsampling-scale-image-view,2760,6683,21,,,,
Qihoo360/RePlugin,1378,6664,17,,,,
gedoor/MyBookshelf,1009,6659,160,,,,
resilience4j/resilience4j,2114,6631,28,,,,
kevin-wayne/algs4,2025,6531,0,,,,
DroidPluginTeam/DroidPlugin,2029,6525,2,,,,
apache/cassandra,4318,6510,0,,,,
yanzhenjie/AndPermission,1648,6485,0,,,,
alibaba/otter,2777,6482,10,,,,
dyc87112/SpringCloud-Learning,1669,6482,0,,,,
newbee-ltd/newbee-mall,543,6479,0,,,,
naman14/Timber,2105,6474,5,,,,
barteksc/AndroidPdfViewer,1749,6457,0,,,,
java-native-access/jna,3610,6411,0,,,,
eclipse/che,2183,6390,26,,,,
abel533/Mapper,2308,6325,2,,,,
zendesk/android-floating-action-button,2371,6323,0,,,,
seven332/EhViewer,2499,6290,97,,,,
NLPchina/elasticsearch-sql,2397,6290,154,,,,
goldze/MVVMHabit,1335,6243,2,,,,
koush/ion,2856,6236,0,,,,
apache/storm,2689,6209,0,,,,
Exrick/xmall,1328,6174,0,,,,
Angel-ML/angel,1422,6166,18,,,,
vinc3m1/RoundedImageView,2945,6147,19,,,,
ikew0ng/SwipeBackLayout,2761,6098,0,,,,
GrenderG/Toasty,1519,6092,18,,,,
rengwuxian/MaterialEditText,2330,6086,19,,,,
macrozheng/mall-swarm,478,6086,1,,,,
rey5137/material,2290,6063,10,,,,
google/physical-web,2360,6053,17,,,,
pedrovgs/EffectiveAndroidUI,2448,6044,0,,,,
uber/RIBs,1261,6041,4,,,,
gocd/gocd,2651,6012,68,,,,
markzhai/AndroidPerformanceMonitor,1886,5971,0,,,,
guardianproject/haven,1477,5966,36,,,,
antoniolg/androidmvp,2541,5942,0,,,,
Meituan-Dianping/walle,1527,5927,1,,,,
singwhatiwanna/dynamic-load-apk,2544,5909,0,,,,
zhoutaoo/SpringCloud,1333,5896,0,,,,
checkstyle/checkstyle,2755,5891,100,,,,
daimajia/NumberProgressBar,2512,5889,3,,,,
lenve/VBlog,1177,5883,0,,,,
wyouflf/xUtils3,1967,5877,9,,,,
google/closure-compiler,2527,5872,0,,,,
KunMinX/Jetpack-MVVM-Best-Practice,503,5852,0,,,,
aa112901/remusic,1819,5850,0,,,,
smuyyh/BookReader,1687,5847,0,,,,
NanoHttpd/nanohttpd,3141,5835,3,,,,
signalapp/Signal-Server,2655,5828,0,,,,
NLPchina/ansj_seg,3115,5818,3,,,,
wildfirechat/server,784,5815,35,,,,
springside/springside4,3310,5802,3,,,,
processing/processing,2974,5782,48,,,,
google/j2objc,2603,5753,38,,,,
flyway/flyway,3015,5747,88,,,,
spring-projects/spring-security,3354,5734,58,,,,
JakeWharton/u2020,2680,5730,0,,,,
json-path/JsonPath,3705,5718,6,,,,
zouzg/mybatis-generator-gui,1774,5712,16,,,,
k9mail/k-9,3694,5706,95,,,,
TechEmpower/FrameworkBenchmarks,2917,5701,15,,,,
AsyncHttpClient/async-http-client,3663,5692,0,,,,
Nightonke/BoomMenu,1824,5690,0,,,,
ArthurHub/Android-Image-Cropper,2253,5681,32,,,,
Graylog2/graylog2-server,3957,5657,28,,,,
weibocom/motan,1792,5650,16,,,,
Devlight/InfiniteCycleViewPager,1668,5650,2,,,,
nhaarman/ListViewAnimations,2920,5646,14,,,,
prolificinteractive/material-calendarview,2228,5641,22,,,,
daimajia/AndroidImageSlider,2480,5636,5,,,,
SonarSource/sonarqube,3724,5617,7,,,,
zo0r/react-native-push-notification,1920,5603,26,,,,
ityouknow/spring-cloud-examples,1419,5577,0,,,,
react-native-video/react-native-video,2178,5559,5,,,,
amlcurran/ShowcaseView,3137,5554,13,,,,
JakeWharton/DiskLruCache,3359,5551,0,,,,
emilsjolander/StickyListHeaders,3293,5513,16,,,,
google/error-prone,2400,5510,9,,,,
dmytrodanylyk/circular-progress-button,2475,5492,0,,,,
hongyangAndroid/FlowLayout,2028,5488,0,,,,
lets-blade/blade,2107,5481,9,,,,
facebookarchive/rebound,2714,5466,10,,,,
sockeqwe/mosby,2184,5460,15,,,,
